Name A Song That Has 'Christmas' In The Title,White Christmas,55,Oh Christmas Tree,21,Wish You Merry Xmas,18
Name Something Santa Does That You wouldn't want Your House guest To Do.,Come Down Chimney,59,Eat Your Coookies,24,Arrive Late at Night,13
"Other Than Displays Of Affection, Name Something You Wish Couples Wouldn't Do In Public.",Fight,68,Feed Each Other,13,Baby Talk,5
Name A Reason You Might Dread Going To A New Year's Party At A Club.,Crowded,53,No Date,21,Don't Drink,18
Which Color Would You Be Surprised To See A Bride Wearing On Her Wedding Day?,Black,74,Red,21,Green,4
Name Something You'D Hate To Find Floating In Your Coffee,Bug,54,Hair,29,Food Crumb,8
"Name Something Santa Does, That You Wouldn't Want Your House Guests To Do.",Come Down Chimney,59,Eat Your Cookies,24,Arrive Late At Nite,13
Name A Specific Night Of The Year That You Hope To Be Kissed.,New Year Eve's,48,Valentine's,25,Christmas,13
Name Something That You Can Get For Free At A Casino.,Drinks,49,Food,33,Entertainment,5
Name A Person Who You'd Never Trust to Set You Up On A Blind Date,Mother,66,Sibling,20,Ex,9
"If You See Pink Frosting On A Cake, What Flavor Would You Expect It To Be",Strawberry,73,Cherry,16,Raspberry,10
Name Something You'd Take Camping But Be Arrested For If You Brought It To A Bank.,Gun,49,Hatchet,34,Alcohol,17
"Before Visiting A New City, Name Something For Which You Might Get A Recommendation.",Places To Stay,56,Restaurant,24,Attraction,7
Name A Reason Why It's Hard To Slow Dance With A Ghost.,Can't See Them,66,Nothing To Hold,17,Can't Lead,16
Name A Decoration You Might Find Inside A Mexican Restaurant.,Sombrero,58,Pinata,22,Maracas,6
Name Something A Dad Would Look Silly Borrowing From His Child At The Bowling Alley.,Shoes,64,Lightweight Ball,19,Money,15
Name A Famous Robert Who Many Women Consider Handsome.,Robert Redford,51,Robert De Niro,34,Robert Kennedy,4
Name An Article Of Clothing That Most People Have 10 Of.,Pairs Of Shoes,57,Pairs Of Socks,21,Shirts,17
Name Something A Man Might Do At The Gym To Impress A Woman.,Lift Weights,55,Flex,24,Take Off Shirt,10
Name Something People Wait In Line For On Hot Days,Ice Cream,66,Cold Drinks,23,Water Park,10
Name Something A Contestant In A Beauty Pageant Might Wear,Bathing Suit,56,Gown,39,Makeup,2
Name A Kind Of Cookie People Love To Dunk In Milk,Chocolate Chip,54,Oreo,42,Oatmeal,5
Name A Night Of The Week When People Stay Up Later Than Usual,Friday,52,Saturday,43,Sunday,3
"If There Was An Award For 'Loudest In The Zoo,' Which Animal Would Win It?",Lion,41,Elephant,34,Monkey,19
